,SPACY,wrong_spacy,,TAGGER,wrong_tagger,,TRANS,,,,,
.,PUNCT,,.,ZP,,selskab,NOUN,,,,,
Hun,PRON,,Hun,pron,,mandsperson,PROPN,,,,,
springer,VERB,,springer,v,,Moderen,PROPN,,,,,
op,ADV,,op,adv,,aldrig,ADV,,,,,
",",PUNCT,,",",ZD,,nogensinde,ADV,,,,,
ude,ADV,,ude,adv,,veget,ADJ,,,,,
af,ADP,,af,præp,,fra,ADP,,,,,
sig,PRON,,sig,pron,,datterens,NOUN,,,,,
af,ADP,,af,præp,,side,NOUN,,,,,
forskrækkelse,NOUN,,forskrækkelse,sb,,tør,ADJ,,,,,
",",PUNCT,,",",ZD,,frygt,VERB,,,,,
iler,NOUN,1,iler,v,,politiet,NOUN,,,,,
skjælvende,VERB,,skjælvende,sb,1,erklære,VERB,,,,,
til,ADP,,til,præp,,løgner,ADJ,,,,,
nogle,PRON,,nogle,pron,,forlanger,VERB,,,,,
af,ADP,,af,præp,,confrontation,NOUN,,,,,
sine,DET,,sine,pron,,angiveren,NOUN,,,,,
beslægtede,ADJ,,beslægtede,adj,,truer,ADJ,,,,,
",",PUNCT,,",",ZD,,modsat,ADJ,,,,,
styrter,VERB,,styrter,v,,tilfælde,NOUN,,,,,
ned,ADV,,ned,adv,,justitiens,ADJ,,,,,
paa,ADP,,paa,præp,,tiltale,NOUN,,,,,
en,DET,,en,pron,,For,ADP,,,,,
stoel,NOUN,,stoel,NN,,tredie,VERB,,,,,
i,ADP,,i,præp,,endog,PROPN,,,,,
værelset,NOUN,,værelset,sb,,trudsel,ADJ,,,,,
og,CCONJ,,og,konj,,straf,NOUN,,,,,
kan,AUX,,kan,v,,hvis,NOUN,,,,,
ikke,ADV,,ikke,adv,,kommer,VERB,,,,,
tale,VERB,,tale,v,,ledsaget,VERB,,,,,
for,ADP,,for,præp,,moder,PROPN,,,,,
graad,NOUN,,graad,NN,,hvilken,ADJ,,,,,
.,PUNCT,,.,ZP,,nedbøiende,ADJ,,,,,
Man,PRON,,Man,pron,,overraskelse,NOUN,,,,,
lader,VERB,,lader,v,,finder,PROPN,,,,,
moderen,NOUN,,moderen,sb,,ved,PROPN,,,,,
hente,VERB,,hente,v,,siden,NOUN,,,,,
",",PUNCT,,",",ZD,,denuncianten,NOUN,,,,,
og,CCONJ,,og,konj,,fræk,ADJ,,,,,
datteren,NOUN,,datteren,sb,,pande,PROPN,,,,,
begynder,VERB,,begynder,v,,vidner,PROPN,,,,,
at,PART,,at,ATI,,Han,PROPN,,,,,
fortælle,VERB,,fortælle,v,,uværdig,ADJ,,,,,
hende,PRON,,hende,pron,,søn,PROPN,,,,,
aarsagen,NOUN,,aarsagen,NN,,brav,NOUN,,,,,
til,ADP,,til,præp,,borger,PROPN,,,,,
hendes,DET,,hendes,pron,,Alle,PROPN,,,,,
hæftige,ADJ,,hæftige,sb,1,høitidelige,ADJ,,,,,
smerte,NOUN,,smerte,NN,,forsikkringer,NOUN,,,,,
.,PUNCT,,.,ZP,,bønner,NOUN,,,,,
Gode,ADJ,,Gode,adj,,troværdigere,ADJ,,,,,
raad,NOUN,,raad,NN,,ere,VERB,,,,,
vare,VERB,,vare,v,,aldeles,ADV,,,,,
nu,ADV,,nu,adv,,spildte,VERB,,,,,
dyre,ADJ,,dyre,adj,,hans,PRON,,,,,
",",PUNCT,,",",ZD,,forvorpne,ADJ,,,,,
da,SCONJ,,da,konj,,leiesvends,VERB,,,,,
man,PRON,,man,pron,,hjerte,NOUN,,,,,
kjendte,VERB,,kjendte,NN,1,triumpherer,ADJ,,,,,
politiets,NOUN,,politiets,sb,,helvedes,NOUN,,,,,
magt,NOUN,,magt,adj,1,haanlatter,VERB,,,,,
.,PUNCT,,.,ZP,,moderens,PROPN,,,,,
Endelig,ADV,,Endelig,adv,,lettroenhed,NOUN,,,,,
besluttede,VERB,,besluttede,v,,blinde,ADJ,,,,,
moderen,NOUN,,moderen,v,1,tiltroe,VERB,,,,,
sig,PRON,,sig,pron,,afskediger,VERB,,,,,
til,ADP,,til,præp,,dag,NOUN,,,,,
at,PART,,at,ATI,,forventning,NOUN,,,,,
gaae,VERB,,gaae,NN,1,nærmere,ADV,,,,,
til,ADP,,til,præp,,beskeed,PROPN,,,,,
Darlin,PROPN,,Darlin,NNP,,Imidlertid,ADV,,,,,
.,PUNCT,,.,ZP,,vil,PROPN,,,,,
Hun,PRON,,Hun,pron,,families,NOUN,,,,,
besværger,VERB,,besværger,XF,1,trøstesløse,ADJ,,,,,
ham,PRON,,ham,pron,,slægtninge,NOUN,,,,,
",",PUNCT,,",",ZD,,træde,VERB,,,,,
henflyder,NOUN,1,henflyder,NN,1,imellem,ADJ,,,,,
i,ADP,,i,præp,,henvender,VERB,,,,,
taarer,NOUN,,taarer,NN,,skriftlig,ADJ,,,,,
",",PUNCT,,",",ZD,,justitsministeren,NOUN,,,,,
forsikkrer,VERB,,forsikkrer,NN,1,fyldestgjørelse,NOUN,,,,,
at,SCONJ,,at,konj,,familien,NOUN,,,,,
hendes,DET,,hendes,pron,,tilføiede,VERB,,,,,
datter,NOUN,,datter,NN,,tort,NOUN,,,,,
er,AUX,,er,v,,Men,PROPN,,,,,
uskyldig,ADJ,,uskyldig,adj,,endogsaa,PROPN,,,,,
og,CCONJ,,og,konj,,høre,VERB,,,,,
fordrer,VERB,,fordrer,NN,1,forfølgelserne,NOUN,,,,,
erstatning,NOUN,,erstatning,NN,,Ministerens,NOUN,,,,,
.,PUNCT,,.,ZP,,lange,ADJ,,,,,
Darlin,NOUN,,Darlin,NNP,,taushed,VERB,,,,,
nævner,VERB,,nævner,v,,ulykkelige,ADJ,,,,,
en,DET,,en,pron,,familie,NOUN,,,,,
anden,DET,,anden,ubestpron,,befrygte,ADJ,,,,,
politiebetjent,NOUN,,politiebetjent,NN,,slemmeste;,ADJ,,,,,
",",PUNCT,,",",ZD,,hentæres,VERB,,,,,
kaldet,VERB,,kaldet,præt,1,synlig,ADJ,,,,,
Kautz,PROPN,,Kautz,sb,,skam,NOUN,,,,,
",",PUNCT,,",",ZD,,Og,CCONJ,,,,,
af,ADP,,af,præp,,følgen,NOUN,,,,,
hvem,PRON,,hvem,pron,,deraf,PROPN,,,,,
han,PRON,,han,pron,,langvarig,ADJ,,,,,
havde,AUX,,havde,v,,langsom,ADJ,,,,,
faaet,VERB,,faaet,præt,1,tærende,ADJ,,,,,
det,DET,,det,pron,,nærvefeber,NOUN,,,,,
andrag,NOUN,,andrag,NN,,angribe,NOUN,,,,,
",",PUNCT,,",",ZD,,skrivelse,NOUN,,,,,
at,PART,,at,ATI,,ministeren,NOUN,,,,,
kalde,VERB,,kalde,v,,beslægtedes,VERB,,,,,
hendes,DET,,hendes,pron,,foreskrivning,NOUN,,,,,
datter,NOUN,,datter,NN,,heele,ADJ,,,,,
for,ADP,,for,præp,,bestaaer,ADJ,,,,,
sig,PRON,,sig,pron,,ømfindtlige,ADJ,,,,,
og,CCONJ,,og,konj,,ord,NOUN,,,,,
at,PART,,at,ATI,,ubehagelige,ADJ,,,,,
foreslaae,VERB,,foreslaae,NN,1,hændelse,NOUN,,,,,
hende,PRON,,hende,pron,,forsikkring,NOUN,,,,,
det,PRON,,det,pron,,gjerningsmændene,NOUN,,,,,
foranførte,VERB,,foranførte,sb,1,skulle,VERB,,,,,
.,PUNCT,,.,ZP,,blive,VERB,,,,,
Der,ADV,,Der,pron,,dragne,PROPN,,,,,
hengaaer,VERB,,hengaaer,NN,1,ansvar,NOUN,,,,,
atter,NOUN,1,atter,adv,,Iøvrigt,ADP,,,,,
nogle,DET,,nogle,pron,,-,PUNCT,,,,,
dage,NOUN,,dage,NN,,giver,NOUN,,,,,
i,ADP,,i,præp,,damerne,NOUN,,,,,
nagende,ADJ,,nagende,NN,,velmeente,ADJ,,,,,
kummer,NOUN,,kummer,NN,,stiltienhed,NOUN,,,,,
over,ADP,,over,præp,,gandske,PROPN,,,,,
denne,DET,,denne,pron,,forbigaae,VERB,,,,,
beskjæmmelse,NOUN,,beskjæmmelse,sb,,sagen,VERB,,,,,
",",PUNCT,,",",ZD,,undertrykke,VERB,,,,,
og,CCONJ,,og,konj,,Guds,PROPN,,,,,
see,VERB,,see,NN,1,skee,PROPN,,,,,
!,PUNCT,,!,ZP,,lov,NOUN,,,,,
da,ADV,,da,adv,,Aaret,PROPN,,,,,
bliver,AUX,,bliver,v,,1813,NUM,,,,,
datteren,NOUN,,datteren,præt,1,gjorde,VERB,,,,,
igjen,NOUN,1,igjen,NN,1,ende,VERB,,,,,
fordret,VERB,,fordret,NN,1,dette,DET,,,,,
frem,ADV,,frem,adv,,uvæsen,ADJ,,,,,
for,ADP,,for,præp,,Tydskland,PROPN,,,,,
Kautz,PROPN,,Kautz,sb,,,,,,,,
.,PUNCT,,.,ZP,,,,,,,,
Isteden,NOUN,1,Isteden,NNP,1,,,,,,,
for,ADP,,for,konj,1,,,,,,,
hende,PRON,,hende,pron,,,,,,,,
fremstiller,VERB,,fremstiller,v,,,,,,,,
moderen,NOUN,,moderen,sb,,,,,,,,
sig,PRON,,sig;,NN,1,,,,,,,
;,PUNCT,,,,,,,,,,,
hun,PRON,,hun,pron,,,,,,,,
bliver,AUX,1,bliver,v,,,,,,,,
hæftig,ADJ,,hæftig,præt,1,,,,,,,
",",PUNCT,,",",ZD,,,,,,,,
og,CCONJ,,og,konj,,,,,,,,
aftvinger,VERB,,aftvinger,NN,1,,,,,,,
ham,PRON,,ham,pron,,,,,,,,
endelig,ADV,,endelig,adv,,,,,,,,
den,DET,,den,pron,,,,,,,,
erklæring,NOUN,,erklæring;,sb,,,,,,,,
;,PUNCT,,,,,,,,,,,
man,PRON,,man,pron,,,,,,,,
havde,VERB,,havde,v,,,,,,,,
seet,VERB,,seet,præt,1,,,,,,,
hendes,DET,,hendes,pron,,,,,,,,
datter,NOUN,,datter,NN,,,,,,,,
sildig,ADJ,,sildig,NN,1,,,,,,,
paa,ADP,,paa,præp,,,,,,,,
gaden,NOUN,,gaden,NN,,,,,,,,
",",PUNCT,,",",ZD,,,,,,,,
og,CCONJ,,og,konj,,,,,,,,
i,ADP,,i,præp,,,,,,,,
selskab,NOUN,,selskab,NN,,,,,,,,
med,ADP,,med,præp,,,,,,,,
en,DET,,en,pron,,,,,,,,
mandsperson,NOUN,,mandsperson,sb,,,,,,,,
.,PUNCT,,.,ZP,,,,,,,,
Moderen,NOUN,,Moderen,sb,,,,,,,,
",",PUNCT,,",",ZD,,,,,,,,
der,ADV,1,der,pron,,,,,,,,
aldrig,ADV,,aldrig,adv,,,,,,,,
nogensinde,ADV,,nogensinde,adv,,,,,,,,
havde,AUX,,havde,v,,,,,,,,
veget,VERB,,veget,NN,1,,,,,,,
fra,ADP,,fra,præp,,,,,,,,
datterens,NOUN,,datterens,NN,,,,,,,,
side,NOUN,,side,NN,,,,,,,,
",",PUNCT,,",",ZD,,,,,,,,
tør,VERB,,tør,v,,,,,,,,
ikke,ADV,,ikke,adv,,,,,,,,
",",PUNCT,,",",ZD,,,,,,,,
af,ADP,,af,præp,,,,,,,,
frygt,NOUN,,frygt,præt,1,,,,,,,
for,ADP,,for,præp,,,,,,,,
politiet,NOUN,,politiet,NN,,,,,,,,
erklære,VERB,,erklære,v,,,,,,,,
Kautz,PROPN,,Kautz,sb,,,,,,,,
for,ADP,,for,præp,,,,,,,,
løgner,NOUN,,løgner,sb,,,,,,,,
",",PUNCT,,",",ZD,,,,,,,,
men,CCONJ,,men,konj,,,,,,,,
forlanger,VERB,,forlanger,v,,,,,,,,
confrontation,NOUN,,confrontation,NN,,,,,,,,
med,ADP,,med,præp,,,,,,,,
angiveren,NOUN,,angiveren,sb,,,,,,,,
og,CCONJ,,og,konj,,,,,,,,
truer,VERB,,truer,v,,,,,,,,
i,ADP,,i,præp,,,,,,,,
modsat,ADJ,,modsat,adv,,,,,,,,
tilfælde,NOUN,,tilfælde,sb,,,,,,,,
med,ADP,,med,præp,,,,,,,,
justitiens,NOUN,,justitiens,sb,,,,,,,,
tiltale,ADJ,,tiltale,NN,,,,,,,,
.,PUNCT,,.,ZP,,,,,,,,
For,CCONJ,,For,præp,,,,,,,,
tredie,ADJ,,tredie,num,,,,,,,,
gang,NOUN,,gang,NN,,,,,,,,
bliver,AUX,,bliver,v,,,,,,,,
datteren,NOUN,,datteren,præt,,,,,,,,
kaldet,VERB,,kaldet,præt,,,,,,,,
frem,ADV,,frem,adv,,,,,,,,
og,CCONJ,,og,konj,,,,,,,,
og,CCONJ,,og,konj,,,,,,,,
det,PRON,,det,pron,,,,,,,,
endog,ADV,,endog,adv,,,,,,,,
under,ADP,,under,præp,,,,,,,,
trudsel,NOUN,,trudsel,NN,,,,,,,,
om,ADP,,om,præp,,,,,,,,
straf,PROPN,,straf,NN,,,,,,,,
",",PUNCT,,",",ZD,,,,,,,,
hvis,SCONJ,,hvis,konj,,,,,,,,
hun,PRON,,hun,pron,,,,,,,,
ikke,ADV,,ikke,adv,,,,,,,,
fremstiller,VERB,,fremstiller,v,,,,,,,,
sig,PRON,,sig,pron,,,,,,,,
.,PUNCT,,.,ZP,,,,,,,,
Hun,PRON,,Hun,pron,,,,,,,,
kommer,VERB,,kommer,v,,,,,,,,
",",PUNCT,,",",ZD,,,,,,,,
ledsaget,VERB,,ledsaget,præt,,,,,,,,
at,SCONJ,,at,konj,,,,,,,,
hendes,DET,,hendes,pron,,,,,,,,
moder,NOUN,,moder,NN,,,,,,,,
",",PUNCT,,",",ZD,,,,,,,,
hvilken,PRON,,hvilken,pron,,,,,,,,
nedbøiende,ADJ,,nedbøiende,sb,,,,,,,,
overraskelse,NOUN,,overraskelse,NN,,,,,,,,
!,PUNCT,,!,ZP,,,,,,,,
Hun,PRON,,Hun,pron,,,,,,,,
finder,VERB,,finder,v,,,,,,,,
Kautz,PROPN,,Kautz,sb,,,,,,,,
",",PUNCT,,",",ZD,,,,,,,,
og,CCONJ,,og,konj,,,,,,,,
ved,ADP,,ved,v,,,,,,,,
siden,NOUN,,siden,adv,,,,,,,,
af,ADP,,af,præp,,,,,,,,
